FeeID,StudentID,Term,AmountDue,AmountPaid,PaymentStatus,PaymentMode
1,1,Term 1,6000,6000,Paid,Cash
2,1,Term 2,6000,2442,Overdue,
3,1,Term 3,6000,6000,Paid,Bank Transfer
4,2,Term 1,6000,6000,Paid,Razorpay (Online)
5,2,Term 2,6000,6000,Paid,Cash
6,2,Term 3,6000,6000,Paid,Razorpay (Online)
7,3,Term 1,6000,0,Pending,
8,3,Term 2,6000,6000,Paid,Cash
9,3,Term 3,6000,930,Overdue,
10,4,Term 1,6000,6000,Paid,Razorpay (Online)
11,4,Term 2,6000,0,Pending,
12,4,Term 3,6000,6000,Paid,Cash
13,5,Term 1,6000,6000,Paid,Razorpay (Online)
14,5,Term 2,6000,6000,Paid,Razorpay (Online)
15,5,Term 3,6000,1407,Overdue,
16,6,Term 1,6000,6000,Paid,Razorpay (Online)
17,6,Term 2,6000,6000,Paid,Razorpay (Online)
18,6,Term 3,6000,6000,Paid,Bank Transfer
19,7,Term 1,6000,6000,Paid,Razorpay (Online)
20,7,Term 2,6000,0,Pending,
21,7,Term 3,6000,0,Pending,
22,8,Term 1,6000,6000,Paid,Bank Transfer
23,8,Term 2,6000,2194,Overdue,
24,8,Term 3,6000,6000,Paid,Cash
25,9,Term 1,6000,0,Pending,
26,9,Term 2,6000,6000,Paid,Razorpay (Online)
27,9,Term 3,6000,6000,Paid,Razorpay (Online)
28,10,Term 1,6000,6000,Paid,Cash
29,10,Term 2,6000,1062,Overdue,
30,10,Term 3,6000,6000,Paid,Bank Transfer
31,11,Term 1,6000,6000,Paid,Razorpay (Online)
32,11,Term 2,6000,6000,Paid,Razorpay (Online)
33,11,Term 3,6000,1548,Overdue,
34,12,Term 1,6000,90,Overdue,
35,12,Term 2,6000,6000,Paid,Razorpay (Online)
36,12,Term 3,6000,6000,Paid,Cash
37,13,Term 1,6000,900,Overdue,
38,13,Term 2,6000,6000,Paid,Razorpay (Online)
39,13,Term 3,6000,0,Pending,
40,14,Term 1,6000,6000,Paid,Razorpay (Online)
41,14,Term 2,6000,6000,Paid,Razorpay (Online)
42,14,Term 3,6000,6000,Paid,Cash
43,15,Term 1,6000,2390,Overdue,
44,15,Term 2,6000,1088,Overdue,
45,15,Term 3,6000,6000,Paid,Razorpay (Online)
46,16,Term 1,6000,0,Pending,
47,16,Term 2,6000,6000,Paid,Razorpay (Online)
48,16,Term 3,6000,6000,Paid,Cash
49,17,Term 1,6000,6000,Paid,Razorpay (Online)
50,17,Term 2,6000,6000,Paid,Bank Transfer
51,17,Term 3,6000,0,Pending,
52,18,Term 1,6000,6000,Paid,Razorpay (Online)
53,18,Term 2,6000,6000,Paid,Cash
54,18,Term 3,6000,6000,Paid,Razorpay (Online)
55,19,Term 1,6000,6000,Paid,Razorpay (Online)
56,19,Term 2,6000,6000,Paid,Cash
57,19,Term 3,6000,6000,Paid,Razorpay (Online)
58,20,Term 1,6000,6000,Paid,Razorpay (Online)
59,20,Term 2,6000,6000,Paid,Bank Transfer
60,20,Term 3,6000,6000,Paid,Bank Transfer
61,21,Term 1,6000,6000,Paid,Razorpay (Online)
62,21,Term 2,6000,6000,Paid,Razorpay (Online)
63,21,Term 3,6000,0,Pending,
64,22,Term 1,6000,2597,Overdue,
65,22,Term 2,6000,6000,Paid,Bank Transfer
66,22,Term 3,6000,6000,Paid,Razorpay (Online)
67,23,Term 1,6000,6000,Paid,Razorpay (Online)
68,23,Term 2,6000,6000,Paid,Cash
69,23,Term 3,6000,0,Pending,
70,24,Term 1,6000,6000,Paid,Razorpay (Online)
71,24,Term 2,6000,6000,Paid,Razorpay (Online)
72,24,Term 3,6000,6000,Paid,Cash
73,25,Term 1,6000,6000,Paid,Razorpay (Online)
74,25,Term 2,6000,6000,Paid,Razorpay (Online)
75,25,Term 3,6000,6000,Paid,Cash
76,26,Term 1,6000,6000,Paid,Razorpay (Online)
77,26,Term 2,6000,6000,Paid,Razorpay (Online)
78,26,Term 3,6000,6000,Paid,Cash
79,27,Term 1,6000,0,Pending,
80,27,Term 2,6000,6000,Paid,Cash
81,27,Term 3,6000,6000,Paid,Cash
82,28,Term 1,6000,6000,Paid,Razorpay (Online)
83,28,Term 2,6000,513,Overdue,
84,28,Term 3,6000,6000,Paid,Cash
85,29,Term 1,6000,6000,Paid,Cash
86,29,Term 2,6000,6000,Paid,Razorpay (Online)
87,29,Term 3,6000,1604,Overdue,
88,30,Term 1,6000,6000,Paid,Razorpay (Online)
89,30,Term 2,6000,6000,Paid,Bank Transfer
90,30,Term 3,6000,6000,Paid,Razorpay (Online)
91,31,Term 1,6000,6000,Paid,Cash
92,31,Term 2,6000,6000,Paid,Cash
93,31,Term 3,6000,6000,Paid,Cash
94,32,Term 1,6000,0,Pending,
95,32,Term 2,6000,0,Pending,
96,32,Term 3,6000,6000,Paid,Cash
97,33,Term 1,6000,6000,Paid,Razorpay (Online)
98,33,Term 2,6000,6000,Paid,Razorpay (Online)
99,33,Term 3,6000,0,Pending,
100,34,Term 1,6000,6000,Paid,Bank Transfer
101,34,Term 2,6000,6000,Paid,Razorpay (Online)
102,34,Term 3,6000,0,Pending,
103,35,Term 1,6000,0,Pending,
104,35,Term 2,6000,6000,Paid,Razorpay (Online)
105,35,Term 3,6000,6000,Paid,Bank Transfer
106,36,Term 1,6000,6000,Paid,Razorpay (Online)
107,36,Term 2,6000,6000,Paid,Razorpay (Online)
108,36,Term 3,6000,2073,Overdue,
109,37,Term 1,6000,6000,Paid,Bank Transfer
110,37,Term 2,6000,0,Pending,
111,37,Term 3,6000,6000,Paid,Bank Transfer
112,38,Term 1,6000,0,Pending,
113,38,Term 2,6000,0,Pending,
114,38,Term 3,6000,6000,Paid,Razorpay (Online)
115,39,Term 1,6000,6000,Paid,Razorpay (Online)
116,39,Term 2,6000,0,Pending,
117,39,Term 3,6000,6000,Paid,Cash
118,40,Term 1,6000,2996,Overdue,
119,40,Term 2,6000,6000,Paid,Razorpay (Online)
120,40,Term 3,6000,6000,Paid,Razorpay (Online)
121,41,Term 1,6000,6000,Paid,Razorpay (Online)
122,41,Term 2,6000,6000,Paid,Bank Transfer
123,41,Term 3,6000,0,Pending,
124,42,Term 1,6000,6000,Paid,Cash
125,42,Term 2,6000,0,Pending,
126,42,Term 3,6000,0,Pending,
127,43,Term 1,6000,6000,Paid,Razorpay (Online)
128,43,Term 2,6000,0,Pending,
129,43,Term 3,6000,6000,Paid,Cash
130,44,Term 1,6000,6000,Paid,Razorpay (Online)
131,44,Term 2,6000,6000,Paid,Cash
132,44,Term 3,6000,6000,Paid,Razorpay (Online)
133,45,Term 1,6000,6000,Paid,Razorpay (Online)
134,45,Term 2,6000,0,Pending,
135,45,Term 3,6000,6000,Paid,Cash
136,46,Term 1,6000,6000,Paid,Cash
137,46,Term 2,6000,6000,Paid,Cash
138,46,Term 3,6000,6000,Paid,Cash
139,47,Term 1,6000,6000,Paid,Razorpay (Online)
140,47,Term 2,6000,397,Overdue,
141,47,Term 3,6000,6000,Paid,Bank Transfer
142,48,Term 1,6000,6000,Paid,Bank Transfer
143,48,Term 2,6000,566,Overdue,
144,48,Term 3,6000,6000,Paid,Razorpay (Online)
145,49,Term 1,6000,1915,Overdue,
146,49,Term 2,6000,0,Pending,
147,49,Term 3,6000,0,Pending,
148,50,Term 1,6000,6000,Paid,Razorpay (Online)
149,50,Term 2,6000,6000,Paid,Cash
150,50,Term 3,6000,6000,Paid,Bank Transfer
151,51,Term 1,6000,6000,Paid,Razorpay (Online)
152,51,Term 2,6000,6000,Paid,Bank Transfer
153,51,Term 3,6000,6000,Paid,Razorpay (Online)
154,52,Term 1,6000,6000,Paid,Cash
155,52,Term 2,6000,6000,Paid,Cash
156,52,Term 3,6000,6000,Paid,Razorpay (Online)
157,53,Term 1,6000,6000,Paid,Razorpay (Online)
158,53,Term 2,6000,6000,Paid,Razorpay (Online)
159,53,Term 3,6000,6000,Paid,Razorpay (Online)
160,54,Term 1,6000,0,Pending,
161,54,Term 2,6000,6000,Paid,Cash
162,54,Term 3,6000,0,Pending,
163,55,Term 1,6000,0,Pending,
164,55,Term 2,6000,0,Pending,
165,55,Term 3,6000,0,Pending,
166,56,Term 1,6000,6000,Paid,Razorpay (Online)
167,56,Term 2,6000,356,Overdue,
168,56,Term 3,6000,6000,Paid,Razorpay (Online)
169,57,Term 1,6000,6000,Paid,Razorpay (Online)
170,57,Term 2,6000,6000,Paid,Razorpay (Online)
171,57,Term 3,6000,6000,Paid,Razorpay (Online)
172,58,Term 1,6000,6000,Paid,Razorpay (Online)
173,58,Term 2,6000,2568,Overdue,
174,58,Term 3,6000,6000,Paid,Cash
175,59,Term 1,6000,0,Pending,
176,59,Term 2,6000,6000,Paid,Cash
177,59,Term 3,6000,6000,Paid,Razorpay (Online)
178,60,Term 1,6000,6000,Paid,Razorpay (Online)
179,60,Term 2,6000,6000,Paid,Razorpay (Online)
180,60,Term 3,6000,6000,Paid,Cash
181,61,Term 1,6000,6000,Paid,Razorpay (Online)
182,61,Term 2,6000,6000,Paid,Bank Transfer
