MarkID,StudentID,TeacherID,Subject,ExamType,MaxMarks,MarksObtained
1,1,1,Mathematics,Unit Test 1,25,9.6
2,1,1,Mathematics,Unit Test 2,25,11.5
3,1,1,Mathematics,Half Yearly,100,44.3
4,1,1,Mathematics,Annual Exam,100,29.0
5,1,2,Science,Unit Test 1,25,11.7
6,1,2,Science,Unit Test 2,25,9.6
7,1,2,Science,Half Yearly,100,46.8
8,1,2,Science,Annual Exam,100,52.2
9,1,3,English,Unit Test 1,25,4.6
10,1,3,English,Unit Test 2,25,9.3
11,1,3,English,Half Yearly,100,15.0
12,1,3,English,Annual Exam,100,31.6
13,1,4,Social Studies,Unit Test 1,25,8.0
14,1,4,Social Studies,Unit Test 2,25,14.1
15,1,4,Social Studies,Half Yearly,100,42.3
16,1,4,Social Studies,Annual Exam,100,33.4
17,1,5,Telugu,Unit Test 1,25,13.2
18,1,5,Telugu,Unit Test 2,25,13.1
19,1,5,Telugu,Half Yearly,100,49.9
20,1,5,Telugu,Annual Exam,100,55.1
21,1,6,Computer Science,Unit Test 1,25,11.5
22,1,6,Computer Science,Unit Test 2,25,7.1
23,1,6,Computer Science,Half Yearly,100,42.9
24,1,6,Computer Science,Annual Exam,100,51.6
25,2,1,Mathematics,Unit Test 1,25,18.7
26,2,1,Mathematics,Unit Test 2,25,18.7
27,2,1,Mathematics,Half Yearly,100,75.6
28,2,1,Mathematics,Annual Exam,100,80.0
29,2,2,Science,Unit Test 1,25,18.1
30,2,2,Science,Unit Test 2,25,22.0
31,2,2,Science,Half Yearly,100,78.2
32,2,2,Science,Annual Exam,100,71.8
33,2,3,English,Unit Test 1,25,17.2
34,2,3,English,Unit Test 2,25,20.1
35,2,3,English,Half Yearly,100,74.7
36,2,3,English,Annual Exam,100,71.1
37,2,4,Social Studies,Unit Test 1,25,15.3
38,2,4,Social Studies,Unit Test 2,25,15.6
39,2,4,Social Studies,Half Yearly,100,64.7
40,2,4,Social Studies,Annual Exam,100,63.4
41,2,5,Telugu,Unit Test 1,25,20.5
42,2,5,Telugu,Unit Test 2,25,21.1
43,2,5,Telugu,Half Yearly,100,89.3
44,2,5,Telugu,Annual Exam,100,73.4
45,2,6,Computer Science,Unit Test 1,25,20.6
46,2,6,Computer Science,Unit Test 2,25,16.3
47,2,6,Computer Science,Half Yearly,100,63.3
48,2,6,Computer Science,Annual Exam,100,81.4
49,3,1,Mathematics,Unit Test 1,25,15.4
50,3,1,Mathematics,Unit Test 2,25,14.7
51,3,1,Mathematics,Half Yearly,100,71.0
52,3,1,Mathematics,Annual Exam,100,68.6
53,3,2,Science,Unit Test 1,25,12.6
54,3,2,Science,Unit Test 2,25,17.1
55,3,2,Science,Half Yearly,100,53.4
56,3,2,Science,Annual Exam,100,77.8
57,3,3,English,Unit Test 1,25,16.0
58,3,3,English,Unit Test 2,25,16.9
59,3,3,English,Half Yearly,100,73.7
60,3,3,English,Annual Exam,100,62.9
61,3,4,Social Studies,Unit Test 1,25,14.7
62,3,4,Social Studies,Unit Test 2,25,15.8
63,3,4,Social Studies,Half Yearly,100,62.0
64,3,4,Social Studies,Annual Exam,100,75.3
65,3,5,Telugu,Unit Test 1,25,17.4
66,3,5,Telugu,Unit Test 2,25,19.7
67,3,5,Telugu,Half Yearly,100,66.3
68,3,5,Telugu,Annual Exam,100,93.3
69,3,6,Computer Science,Unit Test 1,25,14.5
70,3,6,Computer Science,Unit Test 2,25,14.7
71,3,6,Computer Science,Half Yearly,100,66.4
72,3,6,Computer Science,Annual Exam,100,69.0
73,4,1,Mathematics,Unit Test 1,25,16.0
74,4,1,Mathematics,Unit Test 2,25,10.8
75,4,1,Mathematics,Half Yearly,100,50.6
76,4,1,Mathematics,Annual Exam,100,41.8
77,4,2,Science,Unit Test 1,25,9.4
78,4,2,Science,Unit Test 2,25,11.6
79,4,2,Science,Half Yearly,100,19.5
80,4,2,Science,Annual Exam,100,48.5
81,4,3,English,Unit Test 1,25,13.2
82,4,3,English,Unit Test 2,25,13.5
83,4,3,English,Half Yearly,100,37.9
84,4,3,English,Annual Exam,100,47.6
85,4,4,Social Studies,Unit Test 1,25,12.3
86,4,4,Social Studies,Unit Test 2,25,9.7
87,4,4,Social Studies,Half Yearly,100,26.6
88,4,4,Social Studies,Annual Exam,100,41.3
89,4,5,Telugu,Unit Test 1,25,12.8
90,4,5,Telugu,Unit Test 2,25,14.8
91,4,5,Telugu,Half Yearly,100,48.3
92,4,5,Telugu,Annual Exam,100,45.5
93,4,6,Computer Science,Unit Test 1,25,8.6
94,4,6,Computer Science,Unit Test 2,25,10.7
95,4,6,Computer Science,Half Yearly,100,39.7
96,4,6,Computer Science,Annual Exam,100,28.6
97,5,1,Mathematics,Unit Test 1,25,16.7
98,5,1,Mathematics,Unit Test 2,25,11.9
99,5,1,Mathematics,Half Yearly,100,53.1
100,5,1,Mathematics,Annual Exam,100,71.1
101,5,2,Science,Unit Test 1,25,21.7
102,5,2,Science,Unit Test 2,25,20.0
103,5,2,Science,Half Yearly,100,73.0
104,5,2,Science,Annual Exam,100,80.5
105,5,3,English,Unit Test 1,25,15.4
106,5,3,English,Unit Test 2,25,15.3
